time,signal,entry,result,pnl
2025-03-03 10:45:00-05:00,put,593.34,loss,-50.0
2025-03-03 10:55:00-05:00,put,592.42,loss,-50.0
2025-03-03 11:15:00-05:00,call,593.66,loss,-50.0
2025-03-03 11:20:00-05:00,call,594.41,loss,-50.0
2025-03-03 11:35:00-05:00,put,591.68,loss,-50.0
2025-03-03 11:40:00-05:00,put,591.34,loss,-50.0
2025-03-03 12:05:00-05:00,call,593.2,loss,-50.0
2025-03-03 12:15:00-05:00,call,593.99,loss,-50.0
2025-03-03 12:35:00-05:00,call,593.72,loss,-50.0
2025-03-03 12:40:00-05:00,call,593.63,loss,-50.0
2025-03-03 12:55:00-05:00,put,592.0,loss,-50.0
2025-03-03 13:00:00-05:00,put,591.41,loss,-50.0
2025-03-03 13:05:00-05:00,put,589.96,loss,-50.0
2025-03-03 13:10:00-05:00,put,589.33,loss,-50.0
2025-03-03 13:15:00-05:00,put,589.71,loss,-50.0
2025-03-03 13:20:00-05:00,put,589.97,loss,-50.0
2025-03-03 13:25:00-05:00,put,588.09,loss,-50.0
2025-03-03 13:30:00-05:00,put,587.71,loss,-50.0
2025-03-03 13:35:00-05:00,put,587.66,loss,-50.0
2025-03-03 13:40:00-05:00,put,588.43,loss,-50.0
2025-03-03 13:45:00-05:00,put,588.73,loss,-50.0
2025-03-03 13:50:00-05:00,put,588.79,loss,-50.0
2025-03-03 13:55:00-05:00,put,589.17,loss,-50.0
2025-03-03 14:00:00-05:00,put,589.69,loss,-50.0
2025-03-03 14:05:00-05:00,put,589.75,loss,-50.0
2025-03-03 14:10:00-05:00,put,589.31,loss,-50.0
2025-03-03 14:15:00-05:00,put,588.45,loss,-50.0
2025-03-03 14:25:00-05:00,put,588.49,loss,-50.0
2025-03-03 14:35:00-05:00,call,589.7,loss,-50.0
2025-03-03 14:40:00-05:00,call,590.28,loss,-50.0
2025-03-03 14:50:00-05:00,put,586.84,loss,-50.0
2025-03-03 14:55:00-05:00,put,586.05,loss,-50.0
2025-03-03 15:00:00-05:00,put,584.36,loss,-50.0
2025-03-03 15:05:00-05:00,put,583.62,loss,-50.0
2025-03-03 15:10:00-05:00,put,582.88,loss,-50.0
2025-03-03 15:15:00-05:00,put,582.66,loss,-50.0
2025-03-03 15:20:00-05:00,put,581.95,loss,-50.0
2025-03-03 15:25:00-05:00,put,581.21,loss,-50.0
2025-03-03 15:30:00-05:00,put,581.41,loss,-50.0
2025-03-03 15:35:00-05:00,put,580.53,loss,-50.0
2025-03-03 15:40:00-05:00,put,580.58,loss,-50.0
2025-03-03 15:45:00-05:00,put,581.86,loss,-50.0
2025-03-03 15:50:00-05:00,put,582.43,loss,-50.0
2025-03-03 15:55:00-05:00,put,583.97,loss,-50.0
2025-03-04 09:30:00-05:00,put,578.56,loss,-50.0
2025-03-04 09:35:00-05:00,put,579.16,loss,-50.0
2025-03-04 09:40:00-05:00,put,578.48,loss,-50.0
2025-03-04 09:45:00-05:00,put,578.03,loss,-50.0
2025-03-04 09:50:00-05:00,put,577.06,loss,-50.0
2025-03-04 09:55:00-05:00,put,575.74,loss,-50.0
2025-03-04 10:00:00-05:00,put,575.51,loss,-50.0
2025-03-04 10:05:00-05:00,put,574.59,loss,-50.0
2025-03-04 10:10:00-05:00,put,574.71,loss,-50.0
2025-03-04 10:15:00-05:00,put,572.73,loss,-50.0
2025-03-04 10:20:00-05:00,put,573.4,loss,-50.0
2025-03-04 10:25:00-05:00,put,574.51,loss,-50.0
2025-03-04 10:30:00-05:00,put,575.44,loss,-50.0
2025-03-04 10:35:00-05:00,put,574.79,loss,-50.0
2025-03-04 10:40:00-05:00,put,575.37,loss,-50.0
2025-03-04 10:45:00-05:00,put,574.94,loss,-50.0
2025-03-04 10:50:00-05:00,put,573.77,loss,-50.0
2025-03-04 10:55:00-05:00,put,574.09,loss,-50.0
2025-03-04 11:00:00-05:00,put,573.91,loss,-50.0
2025-03-04 11:05:00-05:00,put,572.68,loss,-50.0
2025-03-04 11:20:00-05:00,put,573.26,loss,-50.0
2025-03-04 11:55:00-05:00,call,575.98,loss,-50.0
2025-03-04 12:00:00-05:00,call,576.3,loss,-50.0
2025-03-04 12:05:00-05:00,call,575.67,loss,-50.0
2025-03-04 12:10:00-05:00,call,576.23,loss,-50.0
2025-03-04 12:15:00-05:00,call,576.7,loss,-50.0
2025-03-04 12:20:00-05:00,call,577.08,loss,-50.0
2025-03-04 12:25:00-05:00,call,577.86,loss,-50.0
2025-03-04 12:30:00-05:00,call,577.48,loss,-50.0
2025-03-04 12:35:00-05:00,call,577.72,loss,-50.0
2025-03-04 12:40:00-05:00,call,577.26,loss,-50.0
2025-03-04 12:45:00-05:00,call,577.47,loss,-50.0
2025-03-04 12:50:00-05:00,call,577.04,loss,-50.0
2025-03-04 12:55:00-05:00,call,576.49,loss,-50.0
2025-03-04 13:00:00-05:00,call,576.86,loss,-50.0
2025-03-04 13:05:00-05:00,call,578.51,loss,-50.0
2025-03-04 13:10:00-05:00,call,579.75,loss,-50.0
2025-03-04 13:15:00-05:00,call,578.69,loss,-50.0
2025-03-04 13:20:00-05:00,call,577.96,loss,-50.0
2025-03-04 13:30:00-05:00,call,578.27,loss,-50.0
2025-03-04 13:40:00-05:00,call,579.1,loss,-50.0
2025-03-04 13:45:00-05:00,call,579.01,loss,-50.0
2025-03-04 13:50:00-05:00,call,579.7,loss,-50.0
2025-03-04 13:55:00-05:00,call,580.28,loss,-50.0
2025-03-04 14:00:00-05:00,call,581.53,loss,-50.0
2025-03-04 14:05:00-05:00,call,582.09,loss,-50.0
2025-03-04 14:10:00-05:00,call,581.54,loss,-50.0
2025-03-04 14:15:00-05:00,call,581.74,loss,-50.0
2025-03-04 14:20:00-05:00,call,582.65,loss,-50.0
2025-03-04 14:25:00-05:00,call,581.4,loss,-50.0
2025-03-04 14:30:00-05:00,call,581.1,loss,-50.0
2025-03-04 14:35:00-05:00,call,581.95,loss,-50.0
2025-03-04 14:40:00-05:00,call,582.18,loss,-50.0
2025-03-04 14:45:00-05:00,call,582.14,loss,-50.0
2025-03-04 14:50:00-05:00,call,582.29,loss,-50.0
2025-03-04 14:55:00-05:00,call,582.89,loss,-50.0
2025-03-04 15:00:00-05:00,call,582.5,loss,-50.0
2025-03-04 15:05:00-05:00,call,583.06,loss,-50.0
2025-03-04 15:10:00-05:00,call,583.48,loss,-50.0
2025-03-04 15:15:00-05:00,call,583.99,loss,-50.0
2025-03-04 15:20:00-05:00,call,585.29,loss,-50.0
2025-03-04 15:25:00-05:00,call,583.84,loss,-50.0
2025-03-04 15:30:00-05:00,put,581.08,loss,-50.0
2025-03-04 15:35:00-05:00,put,580.04,loss,-50.0
2025-03-04 15:40:00-05:00,put,580.01,loss,-50.0
2025-03-04 15:45:00-05:00,put,578.42,loss,-50.0
2025-03-04 15:50:00-05:00,put,576.63,loss,-50.0
2025-03-04 15:55:00-05:00,put,576.88,loss,-50.0
2025-03-05 09:30:00-05:00,put,577.57,loss,-50.0
2025-03-05 09:35:00-05:00,put,577.65,loss,-50.0
2025-03-05 09:40:00-05:00,put,578.53,loss,-50.0
2025-03-05 09:45:00-05:00,put,576.88,loss,-50.0
2025-03-05 09:50:00-05:00,put,576.65,loss,-50.0
2025-03-05 09:55:00-05:00,put,575.81,loss,-50.0
2025-03-05 10:00:00-05:00,put,578.51,loss,-50.0
2025-03-05 10:05:00-05:00,put,578.89,loss,-50.0
2025-03-05 10:10:00-05:00,put,578.33,loss,-50.0
2025-03-05 10:15:00-05:00,put,576.9,loss,-50.0
2025-03-05 10:20:00-05:00,put,576.0,loss,-50.0
2025-03-05 10:25:00-05:00,put,575.89,loss,-50.0
2025-03-05 11:10:00-05:00,put,574.87,loss,-50.0
2025-03-05 11:15:00-05:00,put,574.37,loss,-50.0
2025-03-05 11:20:00-05:00,put,574.85,loss,-50.0
2025-03-05 11:25:00-05:00,put,574.85,loss,-50.0
2025-03-05 11:30:00-05:00,put,573.61,loss,-50.0
